country_id,NOC,Gold,Silver,Bronze,Total
3,TUR,3,4,4,11
3,TUR,4,1,1,6
3,TUR,3,0,2,5
3,TUR,1,3,4,8
3,TUR,1,1,1,3
3,TUR,0,3,5,8
3,TUR,2,2,9,13
4,ERI,0,0,1,1
8,LVA,0,0,1,1
10,PAN,0,1,0,1
13,BEL,0,0,1,1
13,BEL,0,1,0,1
13,BEL,0,1,0,1
13,BEL,1,0,2,3
13,BEL,2,2,2,6
13,BEL,0,2,3,5
13,BEL,2,2,2,6
13,BEL,0,1,2,3
13,BEL,3,1,6,10
13,BEL,3,1,3,7
15,GBR,0,0,2,2
15,GBR,0,0,1,1
15,GBR,1,0,1,2
15,GBR,0,1,0,1
15,GBR,1,0,0,1
15,GBR,1,1,3,5
15,GBR,1,1,0,2
15,GBR,1,0,4,5
15,GBR,9,9,12,30
15,GBR,1,8,6,15
15,GBR,11,10,7,28
15,GBR,27,23,17,67
15,GBR,29,18,18,65
15,GBR,14,22,29,65
15,GBR,22,20,22,64
22,ISL,0,0,1,1
25,TUN,0,0,1,1
25,TUN,0,0,3,3
25,TUN,2,0,1,3
25,TUN,1,1,1,3
25,TUN,1,1,0,2
28,THA,3,1,4,8
28,THA,1,0,1,2
28,THA,1,0,2,3
28,THA,2,2,2,6
28,THA,0,2,2,4
28,THA,1,3,2,6
28,THA,1,0,1,2
29,BLR,0,2,0,2
29,BLR,0,0,2,2
29,BLR,0,0,1,1
29,BLR,0,1,0,1
29,BLR,1,1,1,3
29,BLR,5,0,1,6
29,BLR,0,2,0,2
29,BLR,2,1,0,3
29,BLR,2,5,7,14
29,BLR,1,6,8,15
29,BLR,3,3,11,17
29,BLR,1,4,4,9
29,BLR,2,5,3,10
29,BLR,1,3,3,7
30,NZL,2,1,0,3
30,NZL,0,0,2,2
30,NZL,3,2,0,5
30,NZL,3,2,1,6
30,NZL,1,0,3,4
30,NZL,4,9,5,18
30,NZL,6,2,5,13
30,NZL,10,7,3,20
30,NZL,7,6,7,20
31,AFG,0,0,1,1
32,ROU,8,5,6,19
32,ROU,4,7,9,20
32,ROU,11,6,9,26
32,ROU,1,1,2,4
32,ROU,2,4,1,7
32,ROU,3,4,2,9
32,ROU,1,3,0,4
33,ETH,2,3,2,7
33,ETH,2,0,1,3
33,ETH,4,1,3,8
33,ETH,1,2,5,8
33,ETH,3,2,3,8
33,ETH,1,3,0,4
33,ETH,1,1,2,4
36,KGZ,0,0,1,1
36,KGZ,0,2,4,6
36,KGZ,0,2,1,3
37,QAT,0,0,1,1
37,QAT,0,1,0,1
37,QAT,0,1,1,2
37,QAT,0,0,1,1
37,QAT,2,0,1,3
38,GHA,0,0,1,1
39,DMA,1,0,0,1
41,CPV,0,0,1,1
43,TKM,0,1,0,1
50,UGA,0,0,1,1
50,UGA,1,0,0,1
50,UGA,1,1,0,2
50,UGA,2,1,1,4
56,PAK,1,0,0,1
57,IRL,3,0,1,4
57,IRL,0,1,0,1
57,IRL,0,2,0,2
57,IRL,1,1,4,6
57,IRL,4,0,3,7
57,IRL,2,0,2,4
59,BRA,5,2,3,10
59,BRA,3,3,9,15
59,BRA,0,6,6,12
59,BRA,7,6,6,19
59,BRA,3,5,9,17
59,BRA,3,7,10,20
59,BRA,7,6,8,21
61,AUT,2,3,4,9
61,AUT,3,5,9,17
61,AUT,3,4,10,17
61,AUT,9,7,7,23
61,AUT,4,6,6,16
61,AUT,4,8,5,17
61,AUT,7,7,4,18
61,AUT,5,3,6,14
61,AUT,2,4,1,7
61,AUT,0,1,2,3
61,AUT,2,1,0,3
61,AUT,0,0,1,1
61,AUT,2,0,3,5
61,AUT,1,1,5,7
62,KEN,1,4,2,7
62,KEN,1,4,3,8
62,KEN,2,3,2,7
62,KEN,6,6,1,13
62,KEN,2,4,7,13
62,KEN,4,2,5,11
62,KEN,4,4,2,10
63,TJK,1,0,0,1
63,TJK,0,0,1,1
63,TJK,0,0,3,3
64,BDI,1,0,0,1
64,BDI,0,1,0,1
68,EGY,1,1,3,5
68,EGY,0,0,3,3
68,EGY,0,3,1,4
68,EGY,1,1,1,3
68,EGY,1,1,4,6
71,ARM,1,1,0,2
71,ARM,0,0,1,1
71,ARM,1,3,0,4
71,ARM,0,1,1,2
71,ARM,0,3,1,4
71,ARM,0,2,2,4
72,UZB,1,0,0,1
72,UZB,2,1,2,5
72,UZB,0,1,1,2
72,UZB,1,1,2,4
72,UZB,4,2,7,13
72,UZB,0,0,3,3
72,UZB,8,2,3,13
72,UZB,3,0,2,5
79,CUB,9,7,11,27
79,CUB,9,8,8,25
79,CUB,11,11,7,29
79,CUB,5,2,4,11
79,CUB,5,3,7,15
79,CUB,2,1,6,9
